1
 DATE PRINTED: 22/01/25   20:14:44
 OCBC BANK                BRANCH: 000                                                                         CDU100P      PAGE    1
                                                                                                              PROCESS DATE : 22/01/25
 SGD FD DEALER QUOTED RATE REPORT                                                                             PROCESS THRU : 22/01/25
0                                            PROD                       <==========R A T E========> EFFECTIVE MATURITY         DEALER
     ACCOUNT NO    TD # SHORT NAME           TYPE     PRINCIPAL BALANCE    CUSTOMER   DEALER QUOTED    DATE    DATE   TERM/CODE CODE
0201-308654-501  000009 NOA CPF CUSTOMER 1    F1             10,911.11       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001098 UA AZHAR ATM          F1              9,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001103 UA AZHAR ATM          F1              8,999.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001110 UA AZHAR ATM          F1              8,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001120 UA AZHAR ATM          F1              8,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001163 UA AZHAR ATM          F1              9,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001165 UA AZHAR ATM          F1              8,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001166 UA AZHAR ATM          F1              7,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001168 UA AZHAR ATM          F1              8,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001236 UA AZHAR ATM          F1              6,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001240 UA AZHAR ATM          F1             70,000.10       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001249 UA AZHAR ATM          F1              6,000.02       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001276 UA AZHAR ATM          F1              6,000.02       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001283 UA AZHAR ATM          F1              7,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001298 UA AZHAR ATM          F1              5,000.02       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001299 UA AZHAR ATM          F1              5,000.02       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001300 UA AZHAR ATM          F1              6,000.02       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001310 UA AZHAR ATM          F1              5,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001355 UA AZHAR ATM          F1              5,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001356 UA AZHAR ATM          F1              5,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001362 UA AZHAR ATM          F1              5,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001363 UA AZHAR ATM          F1              6,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001371 UA AZHAR ATM          F1              5,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001373 UA AZHAR ATM          F1              5,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001421 UA AZHAR ATM          F1             99,999.14       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001425 UA AZHAR ATM          F1              5,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001441 UA AZHAR ATM          F1              5,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001442 UA AZHAR ATM          F1              5,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001443 UA AZHAR ATM          F1              5,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001444 UA AZHAR ATM          F1              5,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001445 UA AZHAR ATM          F1              5,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001446 UA AZHAR ATM          F1              5,000.00       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001447 UA AZHAR ATM          F1              6,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
 301-609191-501  001499 UA AZHAR ATM          F1              6,000.01       .0000000      .0000000  22/01/25 23/01/25    1  D
